datetime,surge,flood_depth,,time,21
9/6/2008 15:00,-0.435896047,2.138999927,,2008-09-06 15:00:00,13336.11036
9/6/2008 16:00,-0.346084676,2.228811262,,2008-09-06 16:00:00,13317.70985
9/6/2008 17:00,-0.280179641,2.294716328,,2008-09-06 17:00:00,13299.14418
9/6/2008 18:00,-0.251884569,2.323011379,,2008-09-06 18:00:00,13280.76318
9/6/2008 19:00,-0.221424811,2.353471123,,2008-09-06 19:00:00,13262.45999
9/6/2008 20:00,-0.119749354,2.455146627,,2008-09-06 20:00:00,13244.1568
9/6/2008 21:00,0.037342483,2.552512099,,2008-09-06 21:00:00,13225.93141
9/6/2008 22:00,0.174293692,1.174585939,,2008-09-06 22:00:00,13207.65748
9/6/2008 23:00,0.278849237,1.279141462,,2008-09-06 23:00:00,13189.4516
9/7/2008 0:00,0.364907667,1.365199869,,2008-09-07 0:00:00,13171.32353
9/7/2008 1:00,0.458977225,1.459269437,,2008-09-07 1:00:00,13153.13715
9/7/2008 2:00,0.522563547,1.522855768,,2008-09-07 2:00:00,13135.02859
9/7/2008 3:00,0.557822202,1.558114437,,2008-09-07 3:00:00,13116.98808
9/7/2008 4:00,0.572488838,1.572781072,,2008-09-07 4:00:00,13098.89902
9/7/2008 5:00,0.509201341,1.509493584,,2008-09-07 5:00:00,13080.88776
9/7/2008 6:00,0.331346972,1.331639233,,2008-09-07 6:00:00,13062.93482
9/7/2008 7:00,0.138715649,1.139007886,,2008-09-07 7:00:00,13044.94307
9/7/2008 8:00,0.028204752,1.028496958,,2008-09-07 8:00:00,13027.01938
9/7/2008 9:00,-0.058709155,0.941583064,,2008-09-07 9:00:00,13009.10544
9/7/2008 10:00,-0.170275254,0.830016966,,2008-09-07 10:00:00,12991.26931
9/7/2008 11:00,-0.305884746,0.694407473,,2008-09-07 11:00:00,12973.49148
9/7/2008 12:00,-0.431461695,0.568830522,,2008-09-07 12:00:00,12955.67485
9/7/2008 13:00,-1.032524857,0.263778195,,2008-09-07 13:00:00,12937.92629
9/7/2008 14:00,-1.118475339,0.092967261,,2008-09-07 14:00:00,12920.12916
9/7/2008 15:00,-1.128095931,0.083346669,,2008-09-07 15:00:00,12902.4001
9/7/2008 16:00,-1.133285931,0.078156667,,2008-09-07 16:00:00,12884.73909
9/7/2008 17:00,-1.110914042,0.100528557,,2008-09-07 17:00:00,12867.09759
9/7/2008 18:00,-1.069352677,0.142089921,,2008-09-07 18:00:00,12849.46583
9/7/2008 19:00,-1.077386795,0.134055804,,2008-09-07 19:00:00,12831.90214
9/7/2008 20:00,-1.084832745,0.126609855,,2008-09-07 20:00:00,12814.28989
9/7/2008 21:00,-1.092155092,0.119287507,,2008-09-07 21:00:00,12796.7457
9/7/2008 22:00,-1.097568778,0.113873824,,2008-09-07 22:00:00,12779.26957
9/7/2008 23:00,-1.101436486,0.110006113,,2008-09-07 23:00:00,12761.75463
9/8/2008 0:00,-1.105155642,0.106286958,,2008-09-08 0:00:00,12744.29801
