datetime,surge,flood_depth,,time,8
10/30/2012 14:00,2.399183919,0,,10/30/2012 14:00,4937.613515
10/30/2012 15:00,2.399183919,0,,10/30/2012 15:00,4930.90269
10/30/2012 16:00,2.399183919,0,,10/30/2012 16:00,4924.191865
10/30/2012 17:00,2.399183919,0,,10/30/2012 17:00,4917.514098
10/30/2012 18:00,2.399183919,0,,10/30/2012 18:00,4910.836332
10/30/2012 19:00,2.399183919,0,,10/30/2012 19:00,4904.158565
10/30/2012 20:00,2.399183919,0,,10/30/2012 20:00,4897.480798
10/30/2012 21:00,1.845451847,0.906123547,,10/30/2012 21:00,4890.836089
10/30/2012 22:00,2.392802638,1.56205457,,10/30/2012 22:00,4884.191381
10/30/2012 23:00,2.546102868,1.715354822,,10/30/2012 23:00,4877.57973
10/31/2012 0:00,2.404474936,1.573726874,,10/31/2012 0:00,4870.96808
