time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge
2011-08-26 00:00:00,13564.165194643767,37661.44414956754,14974.37231872968,41360.923270336316,13936.267386851841,5762.73620916948,12615.119577188545,6011.056756812643,4806.277414630157
2011-08-26 01:00:00,13545.001979778797,37608.24511009172,14953.24238053468,41302.646793800064,13916.600658807156,5754.605317719174,12597.340167728073,6002.557145016834,4799.481356322934
2011-08-26 02:00:00,13716.846268608675,38016.0722294127,14932.112442339685,41244.12233225727,13896.933930762472,5746.4744262688655,12757.175262877807,5994.092084488486,4792.712924268993
2011-08-26 03:00:00,14068.075203223441,38856.82946308862,14911.078987880739,41186.093840727546,13877.341137785626,5738.370019806998,13083.849462964728,5985.627023960141,4785.944492215052
2011-08-26 04:00:00,14587.512100680902,40103.77246641023,14890.04553342179,41127.817364191294,13857.74834480878,5730.265613345129,13566.946548304932,5977.196514699256,4779.203686414393
2011-08-26 05:00:00,15348.12887695698,41945.84955199852,14874.801103125856,41070.036857668114,13838.204841877157,5722.187691871695,14196.678864195426,5968.766005438372,4772.462880613733
2011-08-26 06:00:00,16171.656323686157,43927.63445994891,14853.86413240296,41012.0083661384,13818.71062899076,5714.136255386703,14963.438345927763,5960.370047444951,4765.749701066355
2011-08-26 07:00:00,17132.962600457307,46241.4547522139,14832.927161680063,40954.22785961521,13799.241061126975,5706.084818901706,15857.976108782614,5951.939538184067,4759.008895265696
2011-08-26 08:00:00,23813.027291402585,58872.99220336079,18163.93166507774,40896.44735309203,13779.796138285805,5698.033382416712,16782.50540072736,5943.578131458109,4752.3233419716
2011-08-26 09:00:00,24684.853178390968,61300.64492310669,18153.02900290407,40838.914831575385,13760.400505489859,5690.008430920157,17647.50060947869,5935.2167247321495,4745.637788677503
2011-08-26 10:00:00,25570.064314411928,63754.26958771467,18142.22282446644,40781.38231005874,13741.029517716523,5682.009964412036,18455.745379952143,5926.855318006191,4738.9522353834045
2011-08-26 11:00:00,27785.769204270844,67618.00672336499,21105.913744720954,40724.09777354864,13721.683174965798,5674.011497903917,19209.84376706869,5918.493911280232,4732.266682089308
2011-08-26 12:00:00,28693.735263647184,70114.2099295498,21110.54496405136,40666.81323703853,13702.3861222603,5666.013031395798,19912.130440757486,5910.1670558217365,4725.608755048493
2011-08-26 13:00:00,29617.98670934649,72636.96438048207,21115.36915085387,40609.52870052842,13683.113714577416,5658.067534864553,20565.299250936787,5901.874751630703,4718.978454260959
2011-08-26 14:00:00,30927.064064732327,74492.26881345364,23439.75883603964,40552.49214902485,13663.890596939753,5650.09555334487,21171.41548254392,5893.58244743967,4712.348153473425
2011-08-26 15:00:00,31878.75527094841,77056.63630615376,23459.730969402037,40495.45559752129,13644.692124324705,5642.176541802062,21732.813805508034,5885.290143248635,4705.717852685891
2011-08-26 16:00:00,32843.385551229316,79629.88639709663,23480.089037708633,40438.667031024255,13625.51829673227,5634.23104527082,22251.559504766465,5877.032390325066,4699.115178151639
2011-08-26 17:00:00,26390.133905141025,71326.00873982385,14683.570338274327,40381.878464527224,13606.393759185059,5626.3385187164495,22729.717865256534,5868.774637401494,4692.512503617385
2011-08-26 18:00:00,27376.18058387405,73900.51398051843,14663.019302495632,40325.33788303672,13587.29386666046,5618.44599216208,23169.354171915576,5860.551435745388,4685.937455336414
2011-08-26 19:00:00,28299.762767121727,76310.11185383606,14642.564750452982,40268.5493165397,13568.218619158475,5610.553465607712,23572.174529691805,5852.328234089278,4679.362407055443
2011-08-26 20:00:00,29213.52910107885,78648.35929126872,14647.099486047344,40212.25672005573,13549.192661701712,5602.687424041778,23939.974838530743,5844.10503243317,4672.787358774471
2011-08-26 21:00:00,30020.882705227,80750.63857538212,14626.741417740748,40155.71613856524,13530.191349267563,5594.821382475846,24274.640793375158,5835.916382044526,4666.239936746782
2011-08-26 22:00:00,30776.033838148105,82715.33413671325,14606.383349434154,40099.423542081284,13511.239326878636,5586.981825898351,24577.698909178718,5827.727731655879,4659.692514719091
2011-08-26 23:00:00,36134.595200855634,93200.95171238,16481.158824625913,40043.37893060385,13492.311949512326,5579.168754309294,24850.67570089512,5819.573632534697,4653.172718944684
2011-08-27 00:00:00,36792.480190806695,94914.13457346697,16465.52845938578,39987.334319126436,13473.409217168624,5571.3291977317995,25095.1874784753,5811.419533413514,4646.652923170275
2011-08-27 01:00:00,37458.39633017731,96650.39287998904,16449.898094145643,39931.289707649026,13454.531129847537,5563.54261113118,25312.760756872944,5803.2654342923315,4640.133127395866
2011-08-27 02:00:00,36507.8205613806,94044.7985454447,17790.153671619202,39875.245096171595,13435.702332571676,5555.756024530561,25504.56287105262,5795.145886438611,4633.640957874739
2011-08-27 03:00:00,37186.00651236441,95815.42864516712,17780.02287933393,39819.448469700714,13416.922825341038,5547.969437929942,25672.12033596801,5787.060889852353,4627.176414606893
2011-08-27 04:00:00,37857.27675134804,97551.20420178468,17770.085054520758,39763.899828236375,13398.1433181104,5540.209336317758,25816.510691586423,5778.941341998633,4620.684245085766
2011-08-27 05:00:00,35639.787161618115,95083.09704004173,14912.23679271334,39708.35118677202,13379.413100924987,5532.475719694013,25939.170657864255,5770.890896679838,4614.247328071201
2011-08-27 06:00:00,36296.55671414979,96747.90836069791,14892.843561767246,39652.80254530768,13360.707528762186,5524.742103070268,26041.177774768803,5762.805900093581,4607.782784803357
2011-08-27 07:00:00,36909.154944873975,98292.70805509554,14873.450330821153,39597.25390384333,13342.05124664461,5517.034971434961,26123.609582267374,5754.755454774786,4601.345867788792
2011-08-27 08:00:00,37679.69911418255,100278.74116220552,14555.150485591486,39541.95324738552,13323.419609549648,5509.327839799654,26187.54362032727,5746.705009455991,4594.908950774227
2011-08-27 09:00:00,38210.20115084027,101602.44140034253,14535.371319701193,39486.900575934254,13304.812617477297,5501.620708164347,26233.967633918503,5738.689115404659,4588.499660012944
2011-08-27 10:00:00,38707.46315240043,102843.10865490562,14515.5921538109,39431.84790448298,13286.230270427557,5493.940061517478,26263.9591630084,5730.673221353327,4582.090369251662
2011-08-27 11:00:00,39282.359598349525,104087.63790870472,14639.959689579628,39376.7952330317,13267.697213423042,5486.285899859046,26278.41615756969,5722.691878569456,4575.708704743661
2011-08-27 12:00:00,39717.38019190821,105174.79069363709,14620.469974897485,39321.74256158044,13249.188801441142,5478.631738200613,26278.236567575146,5714.710535785587,4569.327040235659
2011-08-27 13:00:00,40125.40719991788,106191.46199251253,14600.980260215341,39266.9378751357,13230.729679504466,5471.004061530619,26264.22854800023,5706.729193001717,4562.945375727657
2011-08-27 14:00:00,40244.982091275546,106695.45289280979,14471.981505116202,39212.381173697504,13212.295202590401,5463.376384860624,26237.20025382041,5698.7824014853095,4556.591337472937
2011-08-27 15:00:00,40602.81441541305,107582.74721727942,14452.39530669801,39157.57648725277,13193.88537069895,5455.748708190629,26197.95984001118,5690.835609968904,4550.237299218216
2011-08-27 16:00:00,40931.64536664665,108393.76705683819,14432.90559201586,39103.01978581458,13175.50018383011,5448.147516509071,26147.315461548005,5682.923369719958,4543.910887216778
