time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge,storm_name
2014-07-06 01:00:00,26707.810482180805,72005.04475549252,13085.896153018786,36144.806642831616,12178.707599249556,5035.9881264449805,17482.636994481552,5252.967397414878,4200.129791383137,Hurricane Arthur
2014-07-06 02:00:00,26518.186120885995,71496.90220601659,13068.046661849496,36095.4576265307,12162.072208986196,5029.102029451235,17341.120078775948,5245.815285050112,4194.411156953889,Hurricane Arthur
2014-07-06 03:00:00,26325.661622300784,70981.42185799227,13050.197170680209,36046.108610229785,12145.461463745449,5022.2159324574895,17201.399063015844,5238.628621417882,4188.664896271359,Hurricane Arthur
2014-07-06 04:00:00,26130.68316139295,70459.47266124767,13032.347679510918,35996.75959392887,12128.875363527311,5015.382805440619,17063.473947201244,5231.476509053116,4182.946261842111,Hurricane Arthur
2014-07-06 05:00:00,25933.250738162464,69931.82701562997,13014.59467207768,35947.65856263449,12112.313908331793,5008.523193435312,16927.344731332145,5224.358947955812,4177.255253666145,Hurricane Arthur
2014-07-06 06:00:00,25733.810527577098,69399.35387096729,12996.84166464444,35898.55753134012,12095.801743181491,5001.690066418442,16793.01141540855,5217.206835591046,4171.5366192368965,Hurricane Arthur
2014-07-06 07:00:00,25532.8087046046,68862.8256271068,12979.0886572112,35849.70448505227,12079.289578031194,4994.85693940157,16660.56379442773,5210.089274493743,4165.8456110609295,Hurricane Arthur
2014-07-06 08:00:00,25330.24526924496,68322.72503395301,12961.335649777957,35800.85143876444,12062.826702926122,4988.050297373138,16529.822278395142,5203.006264663903,4160.182229138244,Hurricane Arthur
2014-07-06 09:00:00,25126.566396465943,67779.92104133405,12943.679126080768,35751.99839247659,12046.38847284366,4981.270140333143,16400.96645730533,5195.923254834061,4154.51884721556,Hurricane Arthur
2014-07-06 10:00:00,24921.995173751424,67234.89639915437,12926.11908611963,35703.39333119529,12029.974887783814,4974.463498304709,16273.996331158294,5188.8402450042195,4148.855465292873,Hurricane Arthur
2014-07-06 11:00:00,24716.75468858527,66688.32695728031,12908.46256242244,35654.78826991399,12013.585947746576,4967.683341264715,16148.732309959489,5181.757235174378,4143.192083370188,Hurricane Arthur
2014-07-06 12:00:00,24510.844940967498,66140.69546561633,12890.902522461303,35606.18320863269,11997.221652731949,4960.929669213157,16025.353983703457,5174.708776612,4137.556327700785,Hurricane Arthur
2014-07-06 13:00:00,24304.71210586584,65592.87087399057,12873.34248250016,35557.578147351385,11980.882002739938,4954.175997161598,15903.681762395656,5167.66031804962,4131.92057203138,Hurricane Arthur
2014-07-06 14:00:00,24098.80235824806,65045.2393823266,12856.071893747172,35509.22107107662,11964.591642793152,4947.422325110041,15783.805441033355,5160.611859487243,4126.284816361977,Hurricane Arthur
2014-07-06 15:00:00,23893.11569811415,64498.18719054805,12838.608337522084,35460.86399480185,11948.301282846363,4940.695138046919,15665.814814613836,5153.597952192327,4120.676686945854,Hurricane Arthur
2014-07-06 16:00:00,23687.652125464127,63952.39014852117,12821.144781296996,35412.754903533634,11932.060212944802,4933.9944359722385,15549.440498145266,5146.584044897411,4115.068557529731,Hurricane Arthur
2014-07-06 17:00:00,23483.080902749607,63408.234456169586,12803.391773863754,35364.6458122654,11915.843788065857,4927.2672489091165,15434.951876619474,5139.604688869959,4109.48805436689,Hurricane Arthur
2014-07-06 18:00:00,23279.178942486717,62866.00976343601,12786.024701374714,35316.53672099717,11899.627363186904,4920.566546834434,15322.16936004191,5132.6253328425055,4103.907551204049,Hurricane Arthur
2014-07-06 19:00:00,23076.169332159323,62325.81262030134,12768.657628885676,35268.42762972894,11883.46022835318,4913.892329748188,15211.092948412574,5125.645976815052,4098.3270480412075,Hurricane Arthur
2014-07-06 20:00:00,22873.82898428357,61787.739576746455,12751.29055639664,35220.56652346725,11867.317738542064,4907.218112661943,15101.722641731463,5118.666620787601,4092.746544878367,Hurricane Arthur
2014-07-06 21:00:00,22672.157898859434,61252.27338267587,12734.019967643648,35172.70541720556,11851.199893753566,4900.543895575698,14994.058439998584,5111.721816027609,4087.193667968807,Hurricane Arthur
2014-07-06 22:00:00,22471.602250854692,60719.607138051375,12716.749378890658,35125.09229595041,11835.13133901029,4893.89616347789,14888.100343213928,5104.777011267618,4081.640791059247,Hurricane Arthur
2014-07-06 23:00:00,22272.2066577661,60190.03049281568,12699.478790137671,35077.23118968872,11819.062784267016,4887.2484313800815,14783.758556380228,5097.866757775089,4076.1155404029687,Hurricane Arthur
2014-07-07 00:00:00,22073.94881084527,59663.92964689238,12682.208201384685,35029.8660534401,11803.018874546353,4880.627184270711,14681.122874494751,5090.9565042825625,4070.59028974669,Hurricane Arthur
2017-09-17 00:00:00,14413.258467025164,39163.76185236926,15277.041798719209,41360.92327033632,13936.26738685184,5762.73620916948,12615.119577188543,6011.056756812643,4806.277414630157,Tropical Storm Jose
2017-09-17 01:00:00,14387.93803760521,39102.45261449785,15256.201311732362,41302.646793800064,13916.600658807156,5754.605317719174,12597.340167728073,6002.557145016834,4799.481356322934,Tropical Storm Jose
2017-09-17 02:00:00,14339.84037608149,38952.896694083975,15386.068420455957,41244.12233225727,13896.933930762472,5746.4744262688655,12757.175262877809,5994.092084488486,4792.712924268993,Tropical Storm Jose
2017-09-17 03:00:00,14686.562943521958,39788.63332875311,15365.517384677258,41186.093840727546,13877.341137785626,5738.370019806998,13083.849462964728,5985.627023960141,4785.944492215052,Tropical Storm Jose
2017-09-17 04:00:00,15201.69425254061,41030.845383010615,15345.062832634612,41127.817364191294,13857.74834480878,5730.265613345129,13566.946548304932,5977.196514699256,4779.203686414393,Tropical Storm Jose
2017-09-17 05:00:00,15413.805832210146,41975.20074619207,14990.774553858217,41070.036857668114,13838.204841877156,5722.187691871695,14196.678864195426,5968.766005438372,4772.462880613733,Tropical Storm Jose
2017-09-17 06:00:00,16237.400205184484,43957.85460397056,14969.93406687137,41012.0083661384,13818.71062899076,5714.136255386703,14963.438345927763,5960.370047444951,4765.749701066355,Tropical Storm Jose
2017-09-17 07:00:00,17198.818025697576,46273.21969592994,14949.093579884524,40954.22785961521,13799.241061126975,5706.084818901706,15857.976108782614,5951.939538184067,4759.008895265696,Tropical Storm Jose
