time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge
2019-09-03 00:00:00,13568.359239340643,37670.906047695724,14974.75825367388,41360.923270336316,13936.267386851841,5762.73620916948,12615.119577188545,6011.056756812643,4806.277414630157
2019-09-03 01:00:00,13549.1514069789,37617.610458239,14953.628315478883,41302.646793800064,13916.600658807156,5754.605317719174,12597.340167728073,6002.557145016834,4799.481356322934
2019-09-03 02:00:00,13717.426296066753,38017.327379164395,14932.208926075735,41244.12233225727,13896.933930762472,5746.4744262688655,12757.175262877807,5994.092084488486,4792.712924268993
2019-09-03 03:00:00,14068.65523068152,38858.084612840314,14911.078987880739,41186.093840727546,13877.341137785626,5738.370019806998,13083.849462964728,5985.627023960141,4785.944492215052
2019-09-03 04:00:00,14588.114436887368,40105.027616161926,14890.04553342179,41127.817364191294,13857.74834480878,5730.265613345129,13566.946548304932,5977.196514699256,4779.203686414393
2019-09-03 05:00:00,15264.537996748548,41731.21894445815,14869.012078962845,41070.036857668114,13838.204841877157,5722.187691871695,14196.678864195426,5968.766005438372,4772.462880613733
2019-09-03 06:00:00,16088.757014677742,43714.35555214114,14848.075108239947,41012.0083661384,13818.71062899076,5714.136255386703,14963.438345927763,5960.370047444951,4765.749701066355
2019-09-03 07:00:00,17050.10790894567,46029.33444417692,14827.13813751705,40954.22785961521,13799.241061126975,5706.084818901706,15857.976108782614,5951.939538184067,4759.008895265696
2019-09-03 08:00:00,17961.39797183176,48550.93029533838,14806.201166794153,40896.44735309203,13779.796138285805,5698.033382416712,16782.50540072736,5943.578131458109,4752.3233419716
2019-09-03 09:00:00,18813.72601272936,50910.41872856899,14785.360679807305,40838.914831575385,13760.400505489859,5690.008430920157,17647.50060947869,5935.2167247321495,4745.637788677503
2019-09-03 10:00:00,19609.702155199826,53115.13754241714,14764.616676556509,40781.38231005874,13741.029517716523,5682.009964412036,18455.745379952143,5926.855318006191,4738.9522353834045
2019-09-03 11:00:00,20351.958831552885,55172.23143546942,14743.77618956966,40724.09777354864,13721.683174965798,5674.011497903917,19209.84376706869,5918.493911280232,4732.266682089308
2019-09-03 12:00:00,21042.950004111186,57088.36235640789,14723.032186318864,40666.81323703853,13702.3861222603,5666.013031395798,19912.130440757486,5910.1670558217365,4725.608755048493
2019-09-03 13:00:00,21685.107326448964,58870.28880389559,14702.384666804119,40609.52870052842,13683.113714577416,5658.067534864553,20565.299250936787,5901.874751630703,4718.978454260959
2019-09-03 14:00:00,22280.728599650167,60524.189976710084,14681.737147289372,40552.49214902485,13663.890596939753,5650.09555334487,21171.41548254392,5893.58244743967,4712.348153473425
2019-09-03 15:00:00,22831.888537314837,62056.24507362895,14661.089627774625,40495.45559752129,13644.692124324705,5642.176541802062,21732.813805508034,5885.290143248635,4705.717852685891
2019-09-03 16:00:00,23340.974175520434,63471.95744356349,14640.44210825988,40438.667031024255,13625.51829673227,5634.23104527082,22251.559504766465,5877.032390325066,4699.115178151639
2019-09-03 17:00:00,23809.680979144436,64777.12008536771,14619.891072481181,40381.878464527224,13606.393759185059,5626.3385187164495,22729.717865256534,5868.774637401494,4692.512503617385
2019-09-03 18:00:00,24240.2398230256,65976.94669801019,14599.436520438538,40325.33788303672,13587.29386666046,5618.44599216208,23169.354171915576,5860.551435745388,4685.937455336414
2019-09-03 19:00:00,24634.435407034933,67076.65098045951,14578.885484659844,40268.5493165397,13568.218619158475,5610.553465607712,23572.174529691805,5852.328234089278,4679.362407055443
2019-09-03 20:00:00,24995.167868462835,68083.37763130228,14559.299286241647,40212.25672005573,13549.192661701712,5602.687424041778,23939.974838530743,5844.10503243317,4672.787358774471
2019-09-03 21:00:00,25321.767944857664,68997.0301005576,14538.844734199,40155.71613856524,13530.191349267563,5594.821382475846,24274.640793375158,5835.916382044526,4666.239936746782
2019-09-03 22:00:00,25618.2512109292,69827.55303625813,14518.486665892406,40099.423542081284,13511.239326878636,5586.981825898351,24577.698909178718,5827.727731655879,4659.692514719091
2019-09-03 23:00:00,25884.617666677445,70576.78088804099,14497.646178905557,40043.37893060385,13492.311949512326,5579.168754309294,24850.67570089512,5819.573632534697,4653.172718944684
2019-09-04 00:00:00,26125.329061779918,71252.92040428266,14477.384594335013,39987.334319126436,13473.409217168624,5571.3291977317995,25095.1874784753,5811.419533413514,4646.652923170275
2019-09-04 01:00:00,26339.26995881724,71855.97158498314,14457.02652602842,39931.289707649026,13454.531129847537,5563.54261113118,25312.760756872944,5803.2654342923315,4640.133127395866
2019-09-04 02:00:00,26528.225057660424,72389.60332941664,14436.668457721824,39875.245096171595,13435.702332571676,5555.756024530561,25504.56287105262,5795.145886438611,4633.640957874739
2019-09-04 03:00:00,26693.309795728852,72857.58108683823,14416.503356887326,39819.448469700714,13416.922825341038,5547.969437929942,25672.12033596801,5787.060889852353,4627.176414606893
2019-09-04 04:00:00,26835.639610441893,73262.9944566367,14396.338256052832,39763.899828236375,13398.1433181104,5540.209336317758,25816.510691586423,5778.941341998633,4620.684245085766
