time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge
2014-07-02 00:00:00,13564.165194643767,37661.44414956754,14974.37231872968,41360.923270336316,13936.267386851841,5762.73620916948,12615.119577188545,6011.056756812643,4806.277414630157
2014-07-02 01:00:00,13545.001979778797,37608.24511009172,14953.24238053468,41302.646793800064,13916.600658807156,5754.605317719174,12597.340167728073,6002.557145016834,4799.481356322934
2014-07-02 02:00:00,13716.846268608675,38016.0722294127,14932.112442339685,41244.12233225727,13896.933930762472,5746.4744262688655,12757.175262877807,5994.092084488486,4792.712924268993
2014-07-02 03:00:00,14068.075203223441,38856.82946308862,14911.078987880739,41186.093840727546,13877.341137785626,5738.370019806998,13083.849462964728,5985.627023960141,4785.944492215052
2014-07-02 04:00:00,14587.512100680902,40103.77246641023,14890.04553342179,41127.817364191294,13857.74834480878,5730.265613345129,13566.946548304932,5977.196514699256,4779.203686414393
2014-07-02 05:00:00,15264.649540490487,41731.315494439055,14869.108562698893,41070.036857668114,13838.204841877157,5722.187691871695,14196.678864195426,5968.766005438372,4772.462880613733
2014-07-02 06:00:00,16088.823940922906,43714.35555214114,14848.171591975995,41012.0083661384,13818.71062899076,5714.136255386703,14963.438345927763,5960.370047444951,4765.749701066355
2014-07-02 07:00:00,17050.130217694055,46029.23789419602,14827.2346212531,40954.22785961521,13799.241061126975,5706.084818901706,15857.976108782614,5951.939538184067,4759.008895265696
2014-07-02 08:00:00,17955.910019728406,48534.902998509,14806.201166794153,40896.44735309203,13779.796138285805,5698.033382416712,16782.50540072736,5943.578131458109,4752.3233419716
2014-07-02 09:00:00,18803.508605967836,50880.39168450914,14785.360679807305,40838.914831575385,13760.400505489859,5690.008430920157,17647.50060947869,5935.2167247321495,4745.637788677503
2014-07-02 10:00:00,19595.067616257547,53071.97970095491,14764.616676556509,40781.38231005874,13741.029517716523,5682.009964412036,18455.745379952143,5926.855318006191,4738.9522353834045
2014-07-02 11:00:00,20333.174865410507,55116.715196451994,14743.77618956966,40724.09777354864,13721.683174965798,5674.011497903917,19209.84376706869,5918.493911280232,4732.266682089308
2014-07-02 12:00:00,21020.28431574936,57021.35666966341,14723.032186318864,40666.81323703853,13702.3861222603,5666.013031395798,19912.130440757486,5910.1670558217365,4725.608755048493
2014-07-02 13:00:00,21658.80531209996,58792.46951929031,14702.384666804119,40609.52870052842,13683.113714577416,5658.067534864553,20565.299250936787,5901.874751630703,4718.978454260959
2014-07-02 14:00:00,22250.991038049462,60436.2329441103,14681.737147289372,40552.49214902485,13663.890596939753,5650.09555334487,21171.41548254392,5893.58244743967,4712.348153473425
2014-07-02 15:00:00,22799.09467718502,61958.72959292011,14661.089627774625,40495.45559752129,13644.692124324705,5642.176541802062,21732.813805508034,5885.290143248635,4705.717852685891
2014-07-02 16:00:00,23305.057090616363,63365.752464573656,14640.44210825988,40438.667031024255,13625.51829673227,5634.23104527082,22251.559504766465,5877.032390325066,4699.115178151639
2014-07-02 17:00:00,23771.309931917724,64662.90145796318,14619.987556217233,40381.878464527224,13606.393759185059,5626.3385187164495,22729.717865256534,5868.774637401494,4692.512503617385
2014-07-02 18:00:00,24199.19172599237,65855.19717209548,14599.53300417459,40325.33788303672,13587.29386666046,5618.44599216208,23169.354171915576,5860.551435745388,4685.937455336414
2014-07-02 19:00:00,24591.379522646814,66948.7222557672,14578.981968395892,40268.5493165397,13568.218619158475,5610.553465607712,23572.174529691805,5852.328234089278,4679.362407055443
2014-07-02 20:00:00,24949.21184678433,67948.01455808069,14558.430932617195,40212.25672005573,13549.192661701712,5602.687424041778,23939.974838530743,5844.10503243317,4672.787358774471
2014-07-02 21:00:00,25274.696485759774,68858.19122802361,14538.072864310601,40155.71613856524,13530.191349267563,5594.821382475846,24274.640793375158,5835.916382044526,4666.239936746782
2014-07-02 22:00:00,25568.94887699255,69682.63151492745,14517.714796004006,40099.423542081284,13511.239326878636,5586.981825898351,24577.698909178718,5827.727731655879,4659.692514719091
2014-07-02 23:00:00,25833.753720353656,70425.58361795182,14497.356727697408,40043.37893060385,13492.311949512326,5579.168754309294,24850.67570089512,5819.573632534697,4653.172718944684
2014-07-03 00:00:00,26070.22645326248,71091.10263629451,14476.99865939081,39987.334319126436,13473.409217168624,5571.3291977317995,25095.1874784753,5811.419533413514,4646.652923170275
2014-07-03 01:00:00,26280.151775590035,71683.14711917241,14456.737074820267,39931.289707649026,13454.531129847537,5563.54261113118,25312.760756872944,5803.2654342923315,4640.133127395866
2014-07-03 02:00:00,26464.64512475569,72205.57906582151,14436.571973985772,39875.245096171595,13435.702332571676,5555.756024530561,25504.56287105262,5795.145886438611,4633.640957874739
2014-07-03 03:00:00,26625.268113146598,72661.97082553511,14416.310389415226,39819.448469700714,13416.922825341038,5547.969437929942,25672.12033596801,5787.060889852353,4627.176414606893
2014-07-03 04:00:00,26763.359265665993,73055.99129758742,14396.145288580732,39763.899828236375,13398.1433181104,5540.209336317758,25816.510691586423,5778.941341998633,4620.684245085766
2014-07-03 05:00:00,26879.810932249395,73390.82663134811,14376.076671482288,39708.35118677202,13379.413100924987,5532.475719694013,25939.170657864255,5770.890896679838,4614.247328071201
2014-07-03 06:00:00,26975.961637800057,73669.75952616779,14355.911570647791,39652.80254530768,13360.707528762186,5524.742103070268,26041.177774768803,5762.805900093581,4607.782784803357
