time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge
2017-10-26 00:00:00,13564.165194643767,37661.54069954844,14974.37231872968,41360.923270336316,13936.267386851841,5762.73620916948,12615.119577188545,6011.056756812643,4806.277414630157
2017-10-26 01:00:00,13545.001979778797,37608.34166007261,14953.24238053468,41302.646793800064,13916.600658807156,5754.605317719174,12597.340167728073,6002.557145016834,4799.481356322934
2017-10-26 02:00:00,13717.247826079649,38016.748079279,14932.401893547836,41244.12233225727,13896.933930762472,5746.4744262688655,12757.175262877807,5994.092084488486,4792.712924268993
2017-10-26 03:00:00,14068.454451946032,38857.50531295491,14911.368439088888,41186.093840727546,13877.341137785626,5738.370019806998,13083.849462964728,5985.627023960141,4785.944492215052
2017-10-26 04:00:00,14587.913658151883,40104.35176629562,14890.33498462994,41127.817364191294,13857.74834480878,5730.265613345129,13566.946548304932,5977.196514699256,4779.203686414393
2017-10-26 05:00:00,15264.493379251773,41731.12239447725,14869.012078962845,41070.036857668114,13838.204841877157,5722.187691871695,14196.678864195426,5968.766005438372,4772.462880613733
2017-10-26 06:00:00,16088.690088432579,43714.162452179335,14848.075108239947,41012.0083661384,13818.71062899076,5714.136255386703,14963.438345927763,5960.370047444951,4765.749701066355
2017-10-26 07:00:00,17049.99636520373,46029.04479423422,14827.13813751705,40954.22785961521,13799.241061126975,5706.084818901706,15857.976108782614,5951.939538184067,4759.008895265696
2017-10-26 08:00:00,17957.203927134888,48537.9925978978,14806.201166794153,40896.44735309203,13779.796138285805,5698.033382416712,16782.50540072736,5943.578131458109,4752.3233419716
2017-10-26 09:00:00,18805.60562831627,50885.41228351593,14785.360679807305,40838.914831575385,13760.400505489859,5690.008430920157,17647.50060947869,5935.2167247321495,4745.637788677503
2017-10-26 10:00:00,19597.900827302772,53078.8347495988,14764.616676556509,40781.38231005874,13741.029517716523,5682.009964412036,18455.745379952143,5926.855318006191,4738.9522353834045
2017-10-26 11:00:00,20336.69964765575,55125.211594771186,14743.77618956966,40724.09777354864,13721.683174965798,5674.011497903917,19209.84376706869,5918.493911280232,4732.266682089308
2017-10-26 12:00:00,21024.478360446228,57031.39786767699,14723.032186318864,40666.81323703853,13702.3861222603,5666.013031395798,19912.130440757486,5910.1670558217365,4725.608755048493
2017-10-26 13:00:00,21663.601693003297,58804.0555169983,14702.384666804119,40609.52870052842,13683.113714577416,5658.067534864553,20565.299250936787,5901.874751630703,4718.978454260959
2017-10-26 14:00:00,22256.367446410884,60449.17064155089,14681.737147289372,40552.49214902485,13663.890596939753,5650.09555334487,21171.41548254392,5893.58244743967,4712.348153473425
2017-10-26 15:00:00,22804.89495176581,61973.01899009328,14661.089627774625,40495.45559752129,13644.692124324705,5642.176541802062,21732.813805508034,5885.290143248635,4705.717852685891
2017-10-26 16:00:00,23311.526627648775,63381.20046151764,14640.44210825988,40438.667031024255,13625.51829673227,5634.23104527082,22251.559504766465,5877.032390325066,4699.115178151639
2017-10-26 17:00:00,23778.44873140176,64679.89425460155,14620.277007425384,40381.878464527224,13606.393759185059,5626.3385187164495,22729.717865256534,5868.774637401494,4692.512503617385
2017-10-26 18:00:00,24206.776700444163,65873.25201852375,14599.725971646687,40325.33788303672,13587.29386666046,5618.44599216208,23169.354171915576,5860.551435745388,4685.937455336414
2017-10-26 19:00:00,24599.410672066366,66968.32190188988,14579.271419604042,40268.5493165397,13568.218619158475,5610.553465607712,23572.174529691805,5852.328234089278,4679.362407055443
2017-10-26 20:00:00,24957.9122586555,67969.25555387865,14558.430932617195,40212.25672005573,13549.192661701712,5602.687424041778,23939.974838530743,5844.10503243317,4672.787358774471
2017-10-26 21:00:00,25284.51233505033,68882.03907330587,14538.072864310601,40155.71613856524,13530.191349267563,5594.821382475846,24274.640793375158,5835.916382044526,4666.239936746782
2017-10-26 22:00:00,25579.880163702484,69708.79655975131,14517.714796004006,40099.423542081284,13511.239326878636,5586.981825898351,24577.698909178718,5827.727731655879,4659.692514719091
2017-10-26 23:00:00,25845.35426951522,70453.96931233638,14497.356727697408,40043.37893060385,13492.311949512326,5579.168754309294,24850.67570089512,5819.573632534697,4653.172718944684
2017-10-27 00:00:00,26082.942439843428,71121.51588027796,14476.99865939081,39987.334319126436,13473.409217168624,5571.3291977317995,25095.1874784753,5811.419533413514,4646.652923170275
2017-10-27 01:00:00,26293.53702462261,71715.78101271654,14456.737074820267,39931.289707649026,13454.531129847537,5563.54261113118,25312.760756872944,5803.2654342923315,4640.133127395866
2017-10-27 02:00:00,26479.368898691522,72240.72325886907,14436.668457721824,39875.245096171595,13435.702332571676,5555.756024530561,25504.56287105262,5795.145886438611,4633.640957874739
2017-10-27 03:00:00,26640.88423701793,72699.52876810516,14416.406873151278,39819.448469700714,13416.922825341038,5547.969437929942,25672.12033596801,5787.060889852353,4627.176414606893
2017-10-27 04:00:00,26780.09082695671,73096.34918960356,14396.241772316782,39763.899828236375,13398.1433181104,5540.209336317758,25816.510691586423,5778.941341998633,4620.684245085766
2017-10-27 05:00:00,26898.104105927243,73434.75687265754,14376.173155218337,39708.35118677202,13379.413100924987,5532.475719694013,25939.170657864255,5770.890896679838,4614.247328071201
2017-10-27 06:00:00,26995.816423865046,73717.45521673231,14356.104538119893,39652.80254530768,13360.707528762186,5524.742103070268,26041.177774768803,5762.805900093581,4607.782784803357
